-1.1917,-2.0586,11.712
-1.2784,-2.2322,11.424
-1.3738,-2.4217,11.148
-1.4786,-2.629,10.884
-1.5936,-2.8558,10.633
-1.7198,-3.104,10.395
-1.8583,-3.3758,10.171
-2.01,-3.6733,9.9625
-2.1763,-3.9991,9.7706
-2.3586,-4.3559,9.5971
-2.5584,-4.7464,9.4439
-2.7772,-5.1737,9.3135
-3.0168,-5.6409,9.2088
-3.2792,-6.1514,9.1335
-3.5664,-6.7085,9.0916
-3.8806,-7.3158,9.0884
-4.2242,-7.9765,9.13
-4.5994,-8.6938,9.2234
-5.0088,-9.4705,9.3773
-5.455,-10.309,9.6016
-5.9404,-11.209,9.9079
-6.4672,-12.172,10.31
-7.0377,-13.194,10.822
-7.6533,-14.271,11.462
-8.3151,-15.394,12.248
-9.023,-16.55,13.202
-9.7757,-17.72,14.343
-10.57,-18.878,15.693
-11.401,-19.99,17.27
-12.26,-21.013,19.088
-13.135,-21.896,21.155
-14.011,-22.576,23.467
-14.868,-22.985,26.005
-15.679,-23.052,28.728
-16.417,-22.707,31.577
-17.046,-21.893,34.462
-17.53,-20.572,37.275
-17.835,-18.741,39.888
-17.925,-16.433,42.166
-17.776,-13.73,43.987
-17.371,-10.75,45.255
-16.709,-7.6454,45.916
-15.803,-4.5754,45.969
-14.68,-1.69,45.466
-13.381,0.89089,44.502
-11.954,3.0901,43.196
-10.45,4.8757,41.674
-8.917,6.2558,40.054
-7.3997,7.2681,38.428
-5.9329,7.967,36.865
-4.5429,8.4133,35.409
-3.2473,8.6658,34.083
-2.056,8.7767,32.893
-0.97273,8.7895,31.835
0.003495,8.7389,30.901
0.87704,8.6514,30.077
1.6545,8.5467,29.351
2.3437,8.4389,28.709
2.9532,8.3379,28.142
3.4917,8.2503,27.637
3.9675,8.1804,27.189
4.3888,8.1308,26.788
4.763,8.1027,26.431
5.097,8.0964,26.112
5.3969,8.1117,25.828
5.6684,8.1478,25.577
5.9164,8.2037,25.357
6.1451,8.278,25.166
6.3584,8.3694,25.004
6.5595,8.4762,24.869
6.7512,8.5968,24.762
6.9357,8.7295,24.682
7.1151,8.8723,24.629
7.2908,9.0234,24.604
7.4641,9.1808,24.605
7.6358,9.3424,24.635
7.8064,9.5059,24.691
7.9764,9.6692,24.775
8.1456,9.8297,24.885
8.3141,9.9851,25.022
8.4812,10.133,25.185
8.6463,10.27,25.373
8.8087,10.395,25.584
8.9673,10.504,25.818
9.1209,10.594,26.071
9.2683,10.664,26.342
9.4079,10.711,26.628
9.5382,10.733,26.926
9.6577,10.728,27.232
9.7647,10.695,27.541
9.8578,10.633,27.851
9.9353,10.541,28.157
9.9959,10.42,28.453
10.038,10.271,28.736
10.062,10.094,29.001
10.065,9.8925,29.243
10.048,9.6685,29.459
10.01,9.4252,29.645
9.9512,9.1663,29.798
9.8728,8.8957,29.915
9.7751,8.6177,29.996
9.6593,8.3364,30.038
9.527,8.0562,30.043
9.3799,7.781,30.009
9.22,7.5148,29.939
9.0495,7.2609,29.833
8.8707,7.0224,29.695
8.6858,6.8018,29.526
8.4974,6.6013,29.329
8.3078,6.4224,29.108
8.1193,6.2661,28.865
7.934,6.1332,28.604
7.7539,6.0239,28.328
7.5809,5.9382,28.04
7.4166,5.8758,27.742
7.2625,5.8362,27.438
7.1199,5.8186,27.13
6.9898,5.8223,26.821
6.873,5.8465,26.513
6.7704,5.8903,26.208
6.6824,5.9527,25.908
6.6094,6.033,25.615
6.5518,6.1303,25.33
6.5096,6.2439,25.056
6.483,6.3731,24.795
6.472,6.5172,24.547
6.4766,6.6755,24.314
6.4965,6.8475,24.098
6.5316,7.0325,23.9
6.5817,7.23,23.722
6.6465,7.4392,23.565
6.7258,7.6596,23.431
6.8191,7.8902,23.322
6.9262,8.1304,23.238
7.0467,8.3789,23.181
7.1799,8.6347,23.154
7.3254,8.8963,23.156
7.4824,9.1621,23.19
7.6504,9.4304,23.257
7.8284,9.6989,23.359
8.0155,9.9653,23.495
8.2104,10.227,23.667
8.4121,10.48,23.876
8.6189,10.722,24.121
8.8292,10.949,24.402
9.0412,11.158,24.718
9.2529,11.343,25.067
9.4619,11.501,25.448
9.6658,11.627,25.858
9.8619,11.718,26.292
10.048,11.769,26.747
10.22,11.777,27.216
10.375,11.74,27.694
10.512,11.654,28.173
10.626,11.519,28.647
10.715,11.335,29.107
10.777,11.103,29.546
10.81,10.826,29.955
10.812,10.506,30.326
10.781,10.15,30.653
10.718,9.7621,30.93
10.622,9.3504,31.152
10.495,8.9222,31.314
10.338,8.4851,31.415
10.153,8.0472,31.455
9.942,7.616,31.433
9.7094,7.1985,31.352
9.4583,6.8011,31.215
9.1926,6.429,31.026
8.9162,6.0865,30.789
8.6333,5.777,30.511
8.3476,5.5024,30.196
8.0631,5.2641,29.85
7.7832,5.0622,29.479
7.5111,4.8965,29.087
7.2497,4.766,28.679
